timestamp, event title,gender,Browsing time (in seconds),fans
2019/11/3 14:05,青銀共賞電影,F,10,T
2019/11/3 16:05,青銀共賞電影,M,20,F
2019/11/3 19:50,青銀共賞電影,M,20,T
2019/11/3 20:07,青銀共賞電影,F,20,F
2019/11/3 21:43,青銀共賞電影,F,23,T
2019/11/3 23:40,青銀共賞電影,F,40,T
2019/11/4 9:52,青銀共賞電影,M,53,F
2019/11/4 12:24,青銀共賞電影,F,203,T
2019/11/6 10:20,青銀共賞電影,F,302,F
2019/11/6 15:50,青銀共賞電影,M,3,T
2019/11/6 20:50,青銀共賞電影,F,453,T
2019/11/6 23:34,青銀共賞電影,F,234,F
2019/11/7 7:39,青銀共賞電影,F,2,F
2019/11/7 12:03,青銀共賞電影,M,123,T
2019/11/7 20:54,青銀共賞電影,F,45,F
2019/11/8 11:59,青銀共賞電影,F,23,T
2019/11/18 23:29,北大玩具節,M,16,F
2019/11/18 23:44,北大玩具節,M,23,T
2019/11/19 8:23,北大玩具節,M,32,F
2019/11/19 11:08,北大玩具節,F,54,F
2019/11/19 12:40,北大玩具節,M,56,F
2019/11/19 12:51,北大玩具節,M,76,T
2019/11/19 15:24,北大玩具節,M,75,T
2019/11/19 19:25,北大玩具節,M,77,F
2019/11/20 9:01,北大玩具節,M,43,T
2019/11/20 9:23,北大玩具節,F,56,F
2019/11/20 17:35,北大玩具節,F,1,F
2019/11/20 20:45,北大玩具節,F,23,F
2019/11/21 14:54,北大玩具節,M,45,F
2019/11/21 22:48,北大玩具節,F,21,T
2019/11/21 22:49,北大玩具節,M,23,F
2019/11/22 17:23,北大玩具節,M,56,T
2019/11/22 17:34,北大玩具節,M,88,F
2019/11/22 18:22,北大玩具節,M,97,T
2019/11/22 18:57,北大玩具節,M,43,F
2019/11/22 19:55,北大玩具節,M,12,T
2019/11/22 21:10,北大玩具節,M,34,F
2019/11/22 21:24,北大玩具節,M,43,T
2019/11/22 22:12,北大玩具節,F,54,F
2019/11/22 22:40,北大玩具節,F,67,F
2019/11/22 23:54,北大玩具節,F,46,F
2019/11/23 0:01,北大玩具節,M,75,F
2019/11/23 1:20,北大玩具節,M,23,F
2019/11/23 10:00,北大玩具節,M,44,F
2019/11/23 11:11,北大玩具節,M,67,T
2019/11/23 13:55,北大玩具節,M,86,T
2019/11/27 9:33,北大玩具節,F,43,T
2019/11/27 18:00,北大玩具節,F,12,T
2019/11/27 19:03,北大玩具節,M,345,T
2019/11/27 21:14,北大玩具節,F,45,T
2019/12/16 16:37,聖誕點燈暨北大管樂節,F,34,F
2019/12/16 19:50,聖誕點燈暨北大管樂節,M,56,T
2019/12/16 20:57,聖誕點燈暨北大管樂節,M,67,T
2019/12/17 10:27,聖誕點燈暨北大管樂節,F,66,F
2019/12/17 11:20,聖誕點燈暨北大管樂節,F,43,F
2019/12/17 13:35,聖誕點燈暨北大管樂節,M,22,F
2019/12/17 15:33,聖誕點燈暨北大管樂節,F,34,T
2019/12/17 18:07,聖誕點燈暨北大管樂節,M,34,F
2019/12/17 19:34,聖誕點燈暨北大管樂節,M,56,F
2019/12/17 20:23,聖誕點燈暨北大管樂節,F,44,F
2019/12/17 21:29,聖誕點燈暨北大管樂節,F,38,T
2019/12/17 23:08,聖誕點燈暨北大管樂節,M,31,T
